,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars
10,,,,/us/icon-7-tpu-cleats/S23882.html,,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built to last with a durable, low-cut upper that has a leather lining. A cleated TPU outsole lets you dig in on grass or dirt.",Lace closure; Synthetic upper; Leather lining; Cleated metal and TPU outsole; Imported; Product color: Cloud White / Silver Metallic / Silver Metallic; Product code: S23882, Team Light Grey / Cloud White / Silver Metallic,15,4.3
11,,,,/us/icon-7-boost/FY4178.html,,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built for comfort with a soft textile upper. The Boost midsole provides energized cushioning, so you stay comfortable through nine innings and beyond. A metal cleated outsole lets you dig in on grass or dirt.",Lace closure; Textile upper; Boost midsole; Metal cleated outsole; Imported; Product color: Core Black / Silver Metallic / Cloud White; Product code: FY4178, Core Black / Silver Metallic / Cloud White,13,4.6
12,,,,/us/icon-7-cleats/FZ1556.html,,There's more to explosive movement than pure speed. These adidas baseball cleats keep you fast while giving you the stability you need to increase power. The upper is tailored to feel like a natural extension of the foot with a Molded sockliner and extra lockdown at the heel. Lightstrike offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightweight; Lightstrike midsole; Molded sockliner; Cleated metal and TPU outsole; Imported; Product color: Royal Blue / Cloud White / Silver Metallic; Product code: FZ1556, Royal Blue / Cloud White / Silver Metallic,10,4.1
13,,,,/us/adizero-afterburner-nwv-k/HP5497.html,,,Imported; Product color: Cloud White / Gold Metallic / Cloud White; Product code: HP5497, Team Light Grey / Cloud White / Team Light Grey,1,4.0
14,,,,/us/hyperturf-adventure-shoes/GW7129.html,,"Freedom is a comfortable pair of shoes and an empty schedule waiting to be filled with adventure. So lace up in the adidas Hyperturf Adventure Shoes and explore the city. Their durable design takes cues from our outdoor archives, with ripstop mesh, suede and nubuck. Adiprene+ technology and FORMOTION keep feet feeling comfortable and fresh from morning until night.

Made in part with recycled content generated from production waste, e.g., cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; Nubuck, suede and mesh ripstop upper; FORMOTION; Adiprene+ cushioning; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Aluminium / Grey Four / Core Black; Product code: GW7129", Off White / Magic Grey / Grey One,,
15,,,,/us/five-ten-impact-pro-mountain-bike-shoes/FU7531.html,,"Keep going hard on spicy trails in these adidas mountain bike shoes. Embrace gravity-fuelled downhills or enduro grinds in durable Five Ten shoes made for aggressive riding. The Stealth® S1 Dotty tread outsole gives superior grip on pedals, even when they're wet and muddy. The quick-dry upper keeps you comfortable despite the conditions.","Lace closure; Quick-dry synthetic upper with reinforced toe box; Stiff, supportive feel; Durable mountain biking shoes; Compression-molded PU midsole; Stealth® S1 rubber outsole; Imported; Product color: Core Black / Signal Orange / Power Berry; Product code: FU7531",,7,4.4
16,,,,/us/codechaos-22-spikeless-golf-shoes/GX2613.html,,"It's time to turn up your game. Take the lead in these adidas CODECHAOS 22 golf shoes. With a design that amplifies everything a spikeless shoe can be, they set you up to shave strokes in style. From the stance stability of the wraparound outsole to the swing-boosting traction of Twist Grip and the energized feel of full-length BOOST, they maximize everything you need on the course. Tour-level performance has never looked like this before.",Regular fit; Lace closure; Molded EVA sockliner; BOOST midsole; Rubber wrapping spikeless outsole with Twist Grip; Upper contains a minimum of 50% recycled content; Imported; Product color: Bliss / Burgundy / Linen Green; Product code: GX2613, Bliss / Brown / Light Purple,20,4.7
17,,,,/us/speedex-ultra-shoes/GZ6123.html,,"The best just got better. These adidas Speedex Ultra boxing shoes were created with insights from pro fighters. Lightweight and airy, their mesh upper has a perforated EVA inner layer to keep you comfortable through intense workouts. Foam pods keep your heel locked in, so you're stable through every punch, duck and weave. Underneath, Torsion System supports rotational movement so you'll never be caught off guard.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Breathable textile upper; Textile lining; EVA midsole; 3D heel cage; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Core Black / Solar Green; Product code: GZ6123, Core Black / Gold Metallic / Team Power Red,8,5.0
18,,,,/us/icon-7-tpu-cleats/FZ1560.html,,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built to last with a durable, low-cut upper that has a leather lining. A cleated TPU outsole lets you dig in on grass or dirt.",Lace closure; Synthetic upper; Leather lining; Cleated metal and TPU outsole; Imported; Product color: Team Light Grey / Cloud White / Silver Metallic; Product code: FZ1560, Team Light Grey / Cloud White / Silver Metallic,15,4.3
19,,,,/us/icon-7-cleats/S23853.html,,There's more to explosive movement than pure speed. These adidas baseball cleats keep you fast while giving you the stability you need to increase power. The upper is tailored to feel like a natural extension of the foot with a Molded sockliner and extra lockdown at the heel. Lightstrike offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightweight; Lightstrike midsole; Molded sockliner; Cleated metal and TPU outsole; Imported; Product color: Team Navy / Cloud White / Silver Metallic; Product code: S23853, Royal Blue / Cloud White / Silver Metallic,10,4.1
20,,,,/us/codechaos-22-spikeless-golf-shoes/GX2612.html,,"It's time to turn up your game. Take the lead in these adidas CODECHAOS 22 golf shoes. With a design that amplifies everything a spikeless shoe can be, they set you up to shave strokes in style. From the stance stability of the wraparound outsole to the swing-boosting traction of Twist Grip and the energized feel of full-length BOOST, they maximize everything you need on the course. Tour-level performance has never looked like this before.",Regular fit; Lace closure; Molded EVA sockliner; BOOST midsole; Rubber wrapping spikeless outsole with Twist Grip; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Beam Yellow; Product code: GX2612, Bliss / Brown / Light Purple,20,4.7
21,,,,/us/icon-7-cleats/FZ1558.html,,There's more to explosive movement than pure speed. These adidas baseball cleats keep you fast while giving you the stability you need to increase power. The upper is tailored to feel like a natural extension of the foot with a Molded sockliner and extra lockdown at the heel. Lightstrike offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightweight; Lightstrike midsole; Molded sockliner; Cleated metal and TPU outsole; Imported; Product color: Core Black / Cloud White / Silver Metallic; Product code: FZ1558, Royal Blue / Cloud White / Silver Metallic,10,4.1
22,,,,/us/gazelle-indoor-shoes/H06261.html,,"A revival of the Gazelle Indoor sneakers from 1979, these adidas shoes have all the details that soccer fans, indie rockers and sneakerheads have loved for decades. Soft suede and a durable leather lining come together on a gum rubber outsole with a translucent effect. The 3-Stripes and metallic-gold lettering complete the authentic look.",Lace closure; Suede upper; Leather lining; Rubber outsole; Imported; Product color: Scarlet / Cloud White / Scarlet; Product code: H06261, Scarlet / Cloud White / Scarlet,25,5.0
23,,,,/us/purehustle-2.0-cleats/FY4387.html,,Dominate the diamond in these adidas softball cleats. They feature a Sprintskin upper that's lightweight and durable and a Lightstrike midsole that helps you fly at top speed. Metal cleats on the outsole grip the dirt for confidence on every single swing.,Lace closure; Sprintskin upper; Lightweight; Molded heel details; Lightstrike midsole; Cleated metal outsole; Imported; Product color: Cloud White / Silver Metallic / Silver Metallic; Product code: FY4387, Cloud White / Silver Metallic / Silver Metallic,3,4.3
24,,,,/us/purehustle-2.0-cleats/H00985.html,,Dominate the diamond in these adidas softball cleats. They feature a Sprintskin upper that's lightweight and durable and a Lightstrike midsole that helps you fly at top speed. Metal cleats on the outsole grip the dirt for confidence on every single swing.,Lace closure; Sprintskin upper; Lightweight; Molded heel details; Lightstrike midsole; Cleated metal outsole; Imported; Product color: Cloud White / Royal Blue / Silver Metallic; Product code: H00985, Cloud White / Silver Metallic / Silver Metallic,3,4.3
25,,,,/us/purehustle-2-tpu-cleats/FY4397.html,,Think fast. Move faster. These adidas softball cleats are built for speed. The durable synthetic upper has a molded piece that holds your heel in place as you fly. The Lightstrike midsole offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightstrike midsole; Textile lining; Cleated synthetic outsole; Imported; Product color: Core Black / Silver Metallic / Cloud White; Product code: FY4397, Core Black / Silver Metallic / Cloud White,2,4.5
26,,,,/us/purehustle-2-tpu-cleats/H02347.html,,Think fast. Move faster. These adidas softball cleats are built for speed. The durable synthetic upper has a molded piece that holds your heel in place as you fly. The Lightstrike midsole offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightstrike midsole; Textile lining; Cleated synthetic outsole; Imported; Product color: Cloud White / Silver Metallic / Silver Metallic; Product code: H02347, Core Black / Silver Metallic / Cloud White,2,4.5
27,,,,/us/purehustle-2.0-cleats/H00986.html,,Dominate the diamond in these adidas softball cleats. They feature a Sprintskin upper that's lightweight and durable and a Lightstrike midsole that helps you fly at top speed. Metal cleats on the outsole grip the dirt for confidence on every single swing.,Lace closure; Sprintskin upper; Lightweight; Molded heel details; Lightstrike midsole; Cleated metal outsole; Imported; Product color: Cloud White / Team Power Red / Grey One; Product code: H00986, Cloud White / Silver Metallic / Silver Metallic,3,4.3
28,,,,/us/sn1997-x-marimekko-shoes/GW2763.html,,"Spread joy with every stride. These adidas x Marimekko running shoes have an innovative upper that's made from recycled school uniforms and decorated in the design studio's bright poppy print. BOOST delivers incredible energy return and instant comfort with each step, and lightweight Bounce cushioning provides enhanced comfort and flexibility until you cross the finish.",Lace closure; Textile upper; BOOST and Bounce midsole cushioning; Rubber outsole; Marimekko graphic; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Trail Brown / Pearl Citrine; Product code: GW2763,,30,4.8
29,,,,/us/icon-7-mid-cleats/S23915.html,,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built to last with a durable synthetic upper that has a supportive mid cut. The Bounce midsole provides lightweight cushioning, so you stay comfortable through nine innings and beyond.",Lace closure; Synthetic upper; Bounce midsole; Molded rubber outsole; Textile lining; Imported; Product color: Core Black / Cloud White / Cloud White; Product code: S23915, Team Light Grey / Cloud White / Cloud White,23,4.2
30,,,,/us/superstar-shoes/GV8988.html,,"Kids are fascinated by the world around them. Make that world even more magical with these adidas Superstar Shoes. A rainbow decal on the side adds a touch of brightness. Hook-and-loop straps and an OrthoLite® sockliner combine for a snug fit that will keep their feet comfortable all day long.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Hook-and-loop straps; Synthetic leather upper; OrthoLite® sockliner; Adifit length-measuring insole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pulse Blue / Pantone; Product code: GV8988,,1,5.0
31,,,,/us/icon-7-mid-cleats/S23913.html,,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built to last with a durable synthetic upper that has a supportive mid cut. The Bounce midsole provides lightweight cushioning, so you stay comfortable through nine innings and beyond.",Lace closure; Synthetic upper; Bounce midsole; Molded rubber outsole; Textile lining; Imported; Product color: Team Power Red / Cloud White / Cloud White; Product code: S23913, Team Light Grey / Cloud White / Cloud White,23,4.2
32,,,,/us/icon-7-mid-cleats/FY4440.html,,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built to last with a durable synthetic upper that has a supportive mid cut. The Bounce midsole provides lightweight cushioning, so you stay comfortable through nine innings and beyond.",Lace closure; Synthetic upper; Bounce midsole; Molded rubber outsole; Textile lining; Imported; Product color: Royal Blue / Cloud White / Cloud White; Product code: FY4440, Team Light Grey / Cloud White / Cloud White,23,4.2
33,,,,/us/superstar-shoes/GV8978.html,,"Add some sparkle with every step. You like to mix up your style, and this juniors' version of the iconic adidas Superstar shoes lets you do so in a colorful way. Flip up the sequin 3-Stripes to reveal rainbow colors on the other side. A rainbow decal adds an extra touch of brightness. The OrthoLite® sockliner ensures that you'll be comfy all day long.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste",Regular fit; Lace closure; Synthetic leather upper; Molded sockliner; OrthoLite® sockliner; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Pulse Blue / Pantone; Product code: GV8978,,,
34,,,,/us/womens-stan-smith-shoes/IG9949.html,,This version of the Stan Smith is part of the latest Balenciaga / adidas collection. They feature a leather upper with a co-branded logo on the heel tab.,Lace closure; Leather upper; Leather lining; Rubber outsole; Made in Italy; Imported; Product color: Core Black / Core Black / Core Black; Product code: IG9949, White / Off White / Green,,
35,,,,/us/womens-stan-smith-shoes/IG9945.html,,"This version of the Stan Smith is part of the latest Balenciaga / adidas collection. The shoes feature a pre-aged effect on the leather, midsole and laces. They're finished with a co-branded logo on the heel tab.",Lace closure; Leather upper; Leather lining; Rubber outsole; Made in Italy; Imported; Product color: Core Black / Core Black / White; Product code: IG9945, White / Off White / Green,,
36,,,,/us/womens-stan-smith-shoes/IG9944.html,,"This version of the Stan Smith is part of the latest Balenciaga / adidas collection. The shoes feature a pre-aged effect on the leather, midsole and laces. They're finished with a co-branded logo on the heel tab.",Lace closure; Leather upper; Leather lining; Rubber outsole; Made in Italy; Imported; Product color: White / Off White / Green; Product code: IG9944, White / Off White / Green,,
37,,,,/us/ultraboost-cleats/HR1587.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Dark Green / Team Orange / Cloud White; Product code: HR1587, Light Grey / Team Maroon / Cloud White,,
38,,,,/us/ultraboost-cleats/HR1582.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Royal Blue / Cloud White / Scarlet; Product code: HR1582, Light Grey / Team Maroon / Cloud White,,
39,,,,/us/ultraboost-cleats/HR1581.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Team Maroon / Silver Metallic / Cloud White; Product code: HR1581, Light Grey / Team Maroon / Cloud White,,
40,,,,/us/ultraboost-cleats/HR1580.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Team Colleg Gold / Team Maroon / Cloud White; Product code: HR1580, Light Grey / Team Maroon / Cloud White,2,5.0
41,,,,/us/ultraboost-cleats/HR1579.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Gold Metallic / Team College Purple; Product code: HR1579, Light Grey / Team Maroon / Cloud White,2,5.0
42,,,,/us/ultraboost-cleats/HR1578.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Cloud White / Scarlet / Core Black; Product code: HR1578, Light Grey / Team Maroon / Cloud White,,
43,,,,/us/ultraboost-cleats/HR1577.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Victory Red / Cloud White / Cream White; Product code: HR1577, Light Grey / Team Maroon / Cloud White,,
44,,,,/us/ultraboost-cleats/HR0989.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Grey Three / Cloud White / Scarlet; Product code: HR0989, Light Grey / Team Maroon / Cloud White,2,5.0
45,,,,/us/ultraboost-cleats/HR0988.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Collegiate Navy / Gold Metallic / Cloud White; Product code: HR0988, Light Grey / Team Maroon / Cloud White,,
46,,,,/us/ultraboost-cleats/HR0987.html,,"Unleash your full potential. Designed for the agile player, these football cleats have a low cut that lets you move around freely without weighing you down. adidas PRIMEKNIT moves with your feet and the BOOST midsole cushions every step. Vivid accents on the classic 3-Stripes let you rep your school from kickoff until the last whistle.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Textile lining; Synthetic stud outsole plate; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Light Grey / Team Maroon / Cloud White; Product code: HR0987, Light Grey / Team Maroon / Cloud White,,
47,,,,/us/mens-stan-smith-shoes/HP6784.html,,"This version of the Stan Smith is part of the latest Balenciaga / adidas collection. The shoes feature a pre-aged effect on the leather, midsole and laces. They're finished with a co-branded logo on the heel tab.",Lace closure; Leather upper; Leather lining; Rubber outsole; Made in Italy; Imported; Product color: White / Off White / Green; Product code: HP6784, Core Black / Core Black / White,,
